aria,line,name,name_k,previous_next,latitude_longitude,address,postcode,trangit
東北,JR東北本線,松山町（宮城）,まつやままち,"
鹿島台	小牛田	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.4.42.100N38.30.35.100&ZM=8&SZ=672,120",大崎市松山金谷,9871303,"
東北本線
"
東北,JR東北本線,小牛田,こごた,"
松山町（宮城）	田尻（宮城）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.4.4.200N38.32.15.700&ZM=8&SZ=672,120",遠田郡美里町藤ケ崎,9870001,"
東北本線
気仙沼線
石巻線
陸羽東線
"
東北,JR東北本線,田尻（宮城）,たじり,"
小牛田	瀬峰	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.3.44.600N38.35.38.200&ZM=8&SZ=672,120",大崎市田尻沼部,9894308,"
東北本線
"
東北,JR東北本線,瀬峰,せみね,"
田尻（宮城）	梅ヶ沢	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.4.38.200N38.39.9.300&ZM=8&SZ=672,120",栗原市瀬峰下田,9894521,"
東北本線
"
東北,JR東北本線,梅ヶ沢,うめがさわ,"
瀬峰	新田（宮城）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.5.19.500N38.40.43.300&ZM=8&SZ=672,120",登米市迫町新田,9894601,"
東北本線
"
東北,JR東北本線,新田（宮城）,にった,"
梅ヶ沢	石越	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.7.22.400N38.42.30.900&ZM=8&SZ=672,120",登米市迫町新田,9894601,"
東北本線
"
東北,JR東北本線,石越,いしこし,"
新田（宮城）	油島	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.9.45.700N38.45.57.500&ZM=8&SZ=672,120",登米市石越町南郷,9894703,"
東北本線
"
東北,JR東北本線,油島,ゆしま,"
石越	花泉	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.10.45.700N38.47.39.000&ZM=8&SZ=672,120",一関市花泉町油島,0293207,"
東北本線
"
東北,JR東北本線,花泉,はないずみ,"
油島	清水原	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.10.59.900N38.49.50.300&ZM=8&SZ=672,120",一関市花泉町花泉,0293101,"
東北本線
"
東北,JR東北本線,清水原,しみずはら,"
花泉	有壁	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.9.35.500N38.51.7.300&ZM=8&SZ=672,120",一関市花泉町花泉,0293101,"
東北本線
"
東北,JR東北本線,有壁,ありかべ,"
清水原	一ノ関	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.7.26.400N38.51.52.900&ZM=8&SZ=672,120",栗原市金成有壁,9894806,"
東北本線
"
東北,JR東北本線,一ノ関,いちのせき,"
有壁	山ノ目	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.8.33.200N38.55.25.100&ZM=8&SZ=672,120",一関市駅前,0210867,"
大船渡線
東北・北海道新幹線
東北本線
"
東北,JR東北本線,山ノ目,やまのめ,"
一ノ関	平泉	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.8.7.300N38.56.54.400&ZM=8&SZ=672,120",一関市山目町,0210011,"
東北本線
"
東北,JR東北本線,平泉,ひらいずみ,"
山ノ目	前沢	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.7.16.600N38.59.6.800&ZM=8&SZ=672,120",西磐井郡平泉町平泉,0294102,"
東北本線
"
東北,JR東北本線,前沢,まえさわ,"
平泉	陸中折居	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.7.47.100N39.2.47.100&ZM=8&SZ=672,120",奥州市前沢区三日町新裏,0294207,"
東北本線
"
東北,JR東北本線,陸中折居,りくちゅうおりい,"
前沢	水沢	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.8.40.400N39.5.27.800&ZM=8&SZ=672,120",奥州市水沢区真城,0230841,"
東北本線
"
東北,JR東北本線,水沢,みずさわ,"
陸中折居	金ヶ崎	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.8.59.200N39.8.12.400&ZM=8&SZ=672,120",奥州市水沢区中町,0230813,"
東北本線
"
東北,JR東北本線,金ヶ崎,かねがさき,"
水沢	六原	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.6.58.400N39.11.49.200&ZM=8&SZ=672,120",胆沢郡金ケ崎町西根,0294503,"
東北本線
"
東北,JR東北本線,六原,ろくはら,"
金ヶ崎	北上	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.6.4.600N39.13.29.800&ZM=8&SZ=672,120",胆沢郡金ケ崎町三ケ尻,0294502,"
東北本線
"
東北,JR東北本線,北上,きたかみ,"
六原	村崎野	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.7.32.200N39.16.43.700&ZM=8&SZ=672,120",北上市大通り,0240061,"
北上線
東北・北海道新幹線
東北本線
"
東北,JR東北本線,村崎野,むらさきの,"
北上	花巻	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.7.26.100N39.19.11.100&ZM=8&SZ=672,120",北上市飯豊,0240001,"
東北本線
"
東北,JR東北本線,花巻,はなまき,"
村崎野	花巻空港（ＪＲ）	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.6.49.500N39.23.27.400&ZM=8&SZ=672,120",花巻市大通り,0250092,"
東北本線
釜石線
"
東北,JR東北本線,花巻空港（ＪＲ）,はなまきくうこう,"
花巻	石鳥谷	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.7.50.900N39.26.21.800&ZM=8&SZ=672,120",花巻市二枚橋,0250312,"
東北本線
"
東北,JR東北本線,石鳥谷,いしどりや,"
花巻空港（ＪＲ）	日詰	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.9.1.600N39.29.16.800&ZM=8&SZ=672,120",花巻市石鳥谷町好地,0283101,"
東北本線
"
東北,JR東北本線,日詰,ひづめ,"
石鳥谷	紫波中央	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.9.50.700N39.32.9.000&ZM=8&SZ=672,120",紫波郡紫波町北日詰,0283309,"
東北本線
"
東北,JR東北本線,紫波中央,しわちゅうおう,"
日詰	古館	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.9.48.200N39.33.7.200&ZM=8&SZ=672,120",紫波郡紫波町日詰,0283305,"
東北本線
"
東北,JR東北本線,古館,ふるだて,"
紫波中央	矢幅	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.9.29.200N39.34.40.900&ZM=8&SZ=672,120",紫波郡紫波町中島,0283301,"
東北本線
"
