aria,line,name,name_k,previous_next,latitude_longitude,address,postcode,trangit
北海道,JR函館本線,美唄,びばい,"
光珠内	茶志内	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.51.57.300N43.19.41.400&ZM=8&SZ=672,120",美唄市東一条南,0720012,"
函館本線
"
北海道,JR函館本線,茶志内,ちゃしない,"
美唄	奈井江	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.52.37.600N43.22.2.600&ZM=8&SZ=672,120",美唄市茶志内町,0790261,"
函館本線
"
北海道,JR函館本線,奈井江,ないえ,"
茶志内	豊沼	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.53.35.100N43.25.18.000&ZM=8&SZ=672,120",空知郡奈井江町本町,0790313,"
函館本線
"
北海道,JR函館本線,豊沼,とよぬま,"
奈井江	砂川	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.54.17.500N43.27.43.200&ZM=8&SZ=672,120",砂川市豊沼町,0730138,"
函館本線
"
北海道,JR函館本線,砂川,すながわ,"
豊沼	滝川	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.54.48.600N43.29.28.800&ZM=8&SZ=672,120",砂川市東二条北,0730152,"
函館本線
"
北海道,JR函館本線,滝川,たきかわ,"
砂川	江部乙	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.54.16.200N43.33.10.300&ZM=8&SZ=672,120",滝川市栄町,0730031,"
函館本線
根室本線
"
北海道,JR函館本線,江部乙,えべおつ,"
滝川	妹背牛	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.56.23.500N43.37.31.200&ZM=8&SZ=672,120",滝川市江部乙町西,0790462,"
函館本線
"
北海道,JR函館本線,妹背牛,もせうし,"
江部乙	深川	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E141.58.13.600N43.41.19.300&ZM=8&SZ=672,120",雨竜郡妹背牛町妹背牛,0790501,"
函館本線
"
北海道,JR函館本線,深川,ふかがわ,"
妹背牛	納内	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E142.2.43.800N43.43.8.300&ZM=8&SZ=672,120",深川市一条,0740001,"
函館本線
留萌本線
"
北海道,JR函館本線,納内,おさむない,"
深川	近文	","https://map.goo.ne.jp/s_gootransit/staticmap.php?MAP=E142.8.1.500N43.43.48.500&ZM=8&SZ=672,120",深川市納内町,0780151,"
函館本線
"
